"id","image_url","name"
"1","https://static.wikia.nocookie.net/blurgame/images/a/ab/Opel_Astra_Extreme.jpg/revision/latest?cb=20100912135528","Opel Astra Extreme"
"2","https://static.wikia.nocookie.net/blurgame/images/d/d0/Cars_ford_fr_100_download.jpg/revision/latest/scale-to-width-down/1000?cb=20100316191358","Ford FR-100"
"3","https://static.wikia.nocookie.net/blurgame/images/0/04/Audi_R8_4.2_FSI_Quattro.jpg/revision/latest?cb=20100912142022","Audi R8 4.2 FSI quattro"
"4","https://static.wikia.nocookie.net/blurgame/images/f/f0/Corvette_C3_%28Drag%29.jpg/revision/latest/scale-to-width-down/1000?cb=20120721051708","Corvette C3 (Drag)"
"5","https://static.wikia.nocookie.net/blurgame/images/1/13/Chevrolet_Camaro_SS_%28Drag%29.jpg/revision/latest/scale-to-width-down/1000?cb=20120721021315","Chevrolet Camaro SS (Drag)"
"6","https://static.wikia.nocookie.net/blurgame/images/5/54/Ford_Mustang_GT-R_Concept.jpg/revision/latest/scale-to-width-down/1000?cb=20120722081429","Ford Mustang GT-R Concept"
"7","https://static.wikia.nocookie.net/blurgame/images/0/0a/Vauxhall_Monaro_VXR_%28Drift%29.jpg/revision/latest/scale-to-width-down/1000?cb=20120723104448","Vauxhall Monaro VXR (Drift)"
"8","https://static.wikia.nocookie.net/blurgame/images/a/ad/Dodge_Viper_GTSR.jpg/revision/latest/scale-to-width-down/1000?cb=20120722041003","Dodge Viper GTSR"
"9","https://static.wikia.nocookie.net/blurgame/images/9/9a/Ingame_renault_megane.JPG/revision/latest?cb=20100316184747","Renault Mégane Trophy"
"10","https://static.wikia.nocookie.net/blurgame/images/b/bb/Nissan_Skyline_GT-R_NISMO_Z-tune.jpg/revision/latest/scale-to-width-down/1000?cb=20120722145426","Nissan Skyline GT-R NISMO Z-tune"
"11","https://static.wikia.nocookie.net/blurgame/images/d/dd/60072_10150270979520302_880460301_14709902_514768_n.jpg/revision/latest?cb=20100912141412","Ford Transit Supervan3"
"12","https://static.wikia.nocookie.net/blurgame/images/c/c0/Corvette_C3_%28Race%29.jpg/revision/latest?cb=20120719160930","Corvette C3 (Race)"
"13","https://static.wikia.nocookie.net/blurgame/images/6/6a/Dodge_Challenger_%28Race%29.jpg/revision/latest/scale-to-width-down/1000?cb=20120722040406","Dodge Challenger SRT8 (Race)"
"14","https://static.wikia.nocookie.net/blurgame/images/0/0b/Dodge_Viper_Venom_1000.jpg/revision/latest/scale-to-width-down/1000?cb=20120722041202","Dodge Viper Venom 1000"
"15","https://static.wikia.nocookie.net/blurgame/images/0/03/46831_10150270978980302_880460301_14709888_3561956_n.jpg/revision/latest?cb=20100912141201","Koenigsegg CCX-R"
